ticker,sector,score,tier,reasons,price,mkt_cap,scan_date,scan_timestamp,run_type,f_score,v_score,m_score,s_score,p_score,raw_score,raw_score_pre_regime,c_score,float_shares,short_pct,days_to_cover,score_velocity,final_unclamped,regime_multiplier,sentiment_delta,in_universe,filter_reason,r_score
FATN,Technology,75,🟡 WATCHLIST,"[""Rev growth 90%"", ""ROE 24%"", ""Gross margin 91%"", ""P/S 2.9x"", ""6mo Momentum +64%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +140%"", ""Inst. 3% (undiscovered)"", ""Cap $56M"", ""\ud83d\udd01 Persistence x15 (decay 1.00)"", ""8-K: Earnings Results"", ""8-K: 8-K Event"", ""\ud83c\udfc6 Runner sim 63%"", ""Bull Regime Adj""]",4.01,$56M,2026-05-26,2026-05-26 17:13:32,scheduled,16,2,26,16,5.0,71,71,3,7852720,0.025899999,0.07,-11.0,75,1.05,0,True,,3
SLNH,Financial Services,67,🟡 WATCHLIST,"[""Rev growth 58%"", ""Gross margin 66%"", ""6mo Momentum +36%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +95%"", ""Inst. 7% (undiscovered)"", ""Cap $323M"", ""8-K: Material Agreement"", ""8-K: Reg FD Disclosure"", ""8-K: 8-K Event"", ""Bull Regime Adj""]",2.05,$323M,2026-05-26,2026-05-26 17:13:32,scheduled,13,0,26,16,0.0,64,64,9,111615718,0.17989999,1.32,0.0,67,1.05,0,True,,0
CLOV,Healthcare,67,🟡 WATCHLIST,"[""Rev growth 62%"", ""FCF positive"", ""P/S 0.8x"", ""6mo Momentum +56%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +61%"", ""Inst. 30%"", ""Cap $1875M"", ""\ud83d\udd01 Persistence x11 (decay 0.95)"", ""8-K: Reg FD Disclosure"", ""8-K: 8-K Event"", ""\ud83c\udfc6 Runner sim 68%"", ""Bull Regime Adj""]",3.56,$1875M,2026-05-26,2026-05-26 17:13:32,scheduled,11,2,26,13,5.0,64,64,4,408053947,0.0943,6.82,-15.0,67,1.05,0,True,,3
SKLZ,Communication Services,67,🟡 WATCHLIST,"[""Rev growth 33%"", ""Gross margin 88%"", ""P/S 1.3x"", ""6mo Momentum +81%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +170%"", ""Inst. 38%"", ""Cap $148M"", ""\ud83d\udd01 Persistence x13 (decay 0.95)"", ""8-K: Officer/Director Change"", ""8-K: 8-K Event"", ""\ud83c\udfc6 Runner sim 71%"", ""Bull Regime Adj""]",9.5,$148M,2026-05-26,2026-05-26 17:13:32,scheduled,13,2,26,13,5.0,64,64,2,9871936,0.2556,0.63,-13.0,67,1.05,0,True,,3
WYFI,Technology,65,🟡 WATCHLIST,"[""Rev growth 31%"", ""Gross margin 87%"", ""6mo Momentum +84%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +62%"", ""Inst. 22%"", ""Cap $1229M"", ""Squeeze setup (24% short, 3.3d cover)"", ""\ud83d\udd01 Persistence x3 (decay 0.95)"", ""8-K: Reg FD Disclosure"", ""8-K: 8-K Event"", ""Bull Regime Adj""]",31.82,$1229M,2026-05-26,2026-05-26 17:13:32,scheduled,13,0,26,15,4.275,62,62,4,11194261,0.23709999,3.34,-10.0,65,1.05,0,True,,0
HIVE,Financial Services,64,🟡 WATCHLIST,"[""Rev growth 219%"", ""6mo Momentum +44%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +73%"", ""Inst. 37%"", ""Cap $1057M"", ""\ud83d\udd01 Persistence x9 (decay 0.95)"", ""8-K: Other Events"", ""8-K: 8-K Event"", ""\ud83c\udfc6 Runner sim 60%"", ""Bull Regime Adj""]",4.18,$1057M,2026-05-26,2026-05-26 17:13:32,scheduled,10,0,26,13,5.0,61,61,4,251268704,0.0,1.96,-16.0,64,1.05,0,True,,3
IMPP,Energy,63,🟡 WATCHLIST,"[""Rev growth 95%"", ""EPS growth 244%"", ""ROE 11%"", ""Gross margin 45%"", ""FCF positive"", ""P/S 1.6x"", ""Above 50MA"", ""Above 200MA"", ""\u26a1 Volume spike 2x"", ""RS vs IWM +26%"", ""Inst. 31%"", ""Cap $251M"", ""\ud83d\udd01 Persistence x4 (decay 0.95)"", ""Bull Regime Adj""]",5.56,$251M,2026-05-26,2026-05-26 17:13:32,scheduled,18,2,22,13,5.0,60,60,0,18226078,0.089099996,4.68,-8.0,63,1.05,0,True,,0
OPRA,Communication Services,62,🟡 WATCHLIST,"[""Rev growth 23%"", ""EPS growth 35%"", ""ROE 12%"", ""Gross margin 51%"", ""FCF positive"", ""P/S 2.4x"", ""6mo Momentum +40%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +32%"", ""Inst. 17%"", ""Cap $1586M"", ""\ud83d\udd01 Persistence x7 (decay 0.95)"", ""\ud83c\udfc6 Runner sim 66%"", ""Bull Regime Adj""]",17.71,$1586M,2026-05-26,2026-05-26 17:13:32,scheduled,12,2,24,13,5.0,59,59,0,28521339,0.0725,3.34,-11.0,62,1.05,0,True,,3
AMPG,Technology,61,🟡 WATCHLIST,"[""Rev growth 49%"", ""6mo Momentum +75%"", ""Above 50MA"", ""Above 200MA"", ""\u26a1 Volume spike 2x"", ""RS vs IWM +78%"", ""Inst. 24%"", ""Cap $130M"", ""\ud83d\udd01 Persistence x11 (decay 0.95)"", ""Bull Regime Adj""]",5.15,$130M,2026-05-26,2026-05-26 17:13:32,scheduled,10,0,30,13,5.0,58,58,0,22176010,0.055999998,2.59,-8.0,61,1.05,0,True,,0
FCEL,Industrials,61,🟡 WATCHLIST,"[""Rev growth 61%"", ""PEG 0.4"", ""6mo Momentum +303%"", ""Above 50MA"", ""Above 200MA"", ""RS vs IWM +183%"", ""Inst. 48%"", ""Cap $1331M"", ""\ud83d\udd01 Persistence x10 (decay 0.95)"", ""8-K: Officer/Director Change"", ""8-K: Reg FD Disclosure"", ""8-K: 8-K Event"", ""Bull Regime Adj""]",25.13,$1331M,2026-05-26,2026-05-26 17:13:32,scheduled,10,4,26,8,5.0,58,58,5,52791781,0.0868,0.88,-13.0,61,1.05,0,True,,0
